park_name,park_code,region,state,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gateway Arch,JEFF,Midwest ,MO,1859431,1928825,2282261,2967323,2948022,1709993,2140316,2311147,2364694,2477458,2518712,2382612,2622425,2415514,2539740,2553696,3234977,3649308,3420076,3420352,3481042,3458956,3532524,3333454,2685219,2779350,2944976,2572072,2385387,1954810,2360109,2436110,2259020,2496726,2377258,1817091,1698656,1271855,1398188,2016180,2055309
Glacier Bay,GLBA,Alaska,AK,91032,95005,85071,90354,92057,108297,130943,136877,130926,148756,150270,186427,203653,211424,242276,250614,252265,304374,347046,403512,442607,384684,380114,408143,366319,353686,359829,413382,438211,418911,438361,444530,431986,454337,500590,500727,551353,520171,547057,597915,672087
Glacier,GLAC,Intermountain ,MT,1446086,1474578,1786523,1666114,2203847,1946703,1603011,1579151,1660737,1817733,1821523,1986737,2096966,2199767,2141704,2152989,1839518,1720805,1708856,1830944,1684604,1728693,1680614,1905689,1664046,2033933,1925101,1964399,2083329,1808027,2031348,2200048,1853564,2162035,2190374,2338528,2366056,2946681,3305512,2965309,3049839
Grand Canyon,GRCA,Intermountain ,AZ,2131716,2304973,2472270,2293127,2248082,2173584,2711529,3035787,3513030,3859886,3966209,3776685,3886031,4203545,4575602,4364316,4557645,4537703,4791668,4239682,4575124,4460228,4104809,4001974,4124900,4326234,4401522,4279439,4413668,4425314,4348068,4388386,4298178,4421352,4564840,4756771,5520736,5969811,6254238,6380495,5974411
Grand Teton,GRTE,Intermountain ,WY,2446171,2555627,2643644,2534029,1532035,1360898,1334483,1306322,1450791,1232691,1331659,1588253,1625752,1744636,2568689,2540699,2731015,2733439,2658762,2757060,2680025,2590624,2535108,2612629,2355693,2360373,2463442,2406476,2588574,2485987,2580081,2669374,2587437,2705256,2688794,2791392,3149921,3270076,3317000,3491151,3405614
Great Basin,GRBA,Pacific West ,NV,29947,33383,33367,32264,30335,37676,36343,40359,63532,73559,70259,65026,63864,69144,91915,88024,87829,86635,90760,80363,90119,81045,81712,85777,87020,79879,77741,78524,81364,69235,84974,88870,91451,94850,92893,107526,116123,144846,168028,153094,131802
Great Sand Dunes,GRSA,Intermountain ,CO,162546,142427,172505,175273,150177,141833,182713,221449,225937,274286,266321,272136,295070,290654,294282,312225,323663,309283,309855,279768,286745,260789,277523,234776,251375,267204,279589,258660,285121,273903,289955,283284,280058,254674,242841,271774,299513,388308,486935,442905,527546
Great Smoky Mountains,GRSM,Southeast ,TN,8019788,8440953,8312884,8177869,8435475,8508390,9319290,9836306,10209841,8770781,8333553,8151769,8654459,8931690,9283848,8628174,9080420,9265667,9965075,9989395,10283598,10175812,9197697,9316420,9366845,9167046,9192477,9289215,9372253,9044010,9491437,9463538,9008830,9685829,9354695,10099276,10712674,11312786,11338893,11421200,12547743
Guadalupe Mountains,GUMO,Intermountain ,TX,110478,113825,142641,140620,142736,151862,147758,163313,156344,178910,168872,192890,200398,175120,201054,203520,208972,223485,231980,227924,219591,198762,222307,202911,181357,182351,170383,174157,165110,163709,198882,192210,152546,159360,145670,166868,169535,181839,225257,172347,188833
Haleakala,HALE,Pacific West ,HI,673955,560238,631684,771762,864289,1003821,1194651,1281219,1333900,1314683,1367761,1260601,1228332,1183124,1317433,1527329,1594596,1553344,1673561,1476842,1963187,1620083,1410974,1521080,1444668,1455477,1474681,1426068,1322817,1185068,1109104,1105606,956989,1094668,785300,1142040,1216772,1263558,1112390,1044084,994394
